State,Month,ManagedCareParticipation,CountEnrolled,DQUnusable
California,202207,"Comprehensive managed care","12,952,483","Not assessed"
California,202207,"Primary care case management",0,"Not assessed"
California,202207,"MLTSS, including PACE","16,545","Not assessed"
California,202207,"Behavioral health organizations",0,"Not assessed"
California,202207,"Nonmedical prepaid health plans","959,795","Not assessed"
California,202207,"Medical-only prepaid health plans",0,"Not assessed"
California,202207,Other,0,"Not assessed"
California,202208,"Comprehensive managed care","13,027,343","Not assessed"
California,202208,"Primary care case management",0,"Not assessed"
California,202208,"MLTSS, including PACE","16,757","Not assessed"
California,202208,"Behavioral health organizations",0,"Not assessed"
California,202208,"Nonmedical prepaid health plans","966,721","Not assessed"
California,202208,"Medical-only prepaid health plans",0,"Not assessed"
California,202208,Other,0,"Not assessed"
California,202209,"Comprehensive managed care","13,087,694","Not assessed"
California,202209,"Primary care case management",0,"Not assessed"
California,202209,"MLTSS, including PACE","17,046","Not assessed"
California,202209,"Behavioral health organizations",0,"Not assessed"
California,202209,"Nonmedical prepaid health plans","972,075","Not assessed"
California,202209,"Medical-only prepaid health plans",0,"Not assessed"
California,202209,Other,0,"Not assessed"
California,202210,"Comprehensive managed care","13,147,637","Not assessed"
California,202210,"Primary care case management",0,"Not assessed"
California,202210,"MLTSS, including PACE","17,305","Not assessed"
California,202210,"Behavioral health organizations",0,"Not assessed"
California,202210,"Nonmedical prepaid health plans","975,843","Not assessed"
California,202210,"Medical-only prepaid health plans",0,"Not assessed"
California,202210,Other,0,"Not assessed"
California,202211,"Comprehensive managed care","13,247,857","Not assessed"
California,202211,"Primary care case management",0,"Not assessed"
California,202211,"MLTSS, including PACE","17,613","Not assessed"
California,202211,"Behavioral health organizations",0,"Not assessed"
California,202211,"Nonmedical prepaid health plans","983,879","Not assessed"
California,202211,"Medical-only prepaid health plans",0,"Not assessed"
California,202211,Other,0,"Not assessed"
California,202212,"Comprehensive managed care","13,310,697","Not assessed"
California,202212,"Primary care case management",0,"Not assessed"
California,202212,"MLTSS, including PACE","17,851","Not assessed"
California,202212,"Behavioral health organizations",0,"Not assessed"
California,202212,"Nonmedical prepaid health plans","988,976","Not assessed"
California,202212,"Medical-only prepaid health plans",0,"Not assessed"
California,202212,Other,0,"Not assessed"
